time [s];velx [m/s];vely [m/s];velz [m/s];posx [m];posy [m];posz [m]
0.000000;0;0;0;8.75;0.25;0.1883
0.001034;0;0;0;8.75;0.25;0.1883
0.002032;0;0;0;8.75;0.25;0.1883
0.003030;0;0;0;8.75;0.25;0.1883
0.004028;0;0;0;8.75;0.25;0.1883
0.005026;0;0;0;8.75;0.25;0.1883
0.006024;0;0;0;8.75;0.25;0.1883
0.007022;0;0;0;8.75;0.25;0.1883
0.008020;0;0;0;8.75;0.25;0.1883
0.009018;0;0;0;8.75;0.25;0.1883
0.010015;0;0;0;8.75;0.25;0.1883
0.011012;0;0;0;8.75;0.25;0.1883
0.012008;0;0;0;8.75;0.25;0.1883
0.013005;0;0;0;8.75;0.25;0.1883
0.014001;0;0;0;8.75;0.25;0.1883
0.015031;0;0;0;8.75;0.25;0.1883
0.016026;0;0;0;8.75;0.25;0.1883
0.017021;0;0;0;8.75;0.25;0.1883
0.018015;0;0;0;8.75;0.25;0.1883
0.019009;0;0;0;8.75;0.25;0.1883
0.020003;0;0;0;8.75;0.25;0.1883
0.021032;0;0;0;8.75;0.25;0.1883
0.022026;0;0;0;8.75;0.25;0.1883
0.023020;0;0;0;8.75;0.25;0.1883
0.024013;0;0;0;8.75;0.25;0.1883
0.025006;0;0;0;8.75;0.25;0.1883
0.026034;0;0;0;8.75;0.25;0.1883
0.027027;0;0;0;8.75;0.25;0.1883
0.028019;0;0;0;8.75;0.25;0.1883
0.029010;0;0;0;8.75;0.25;0.1883
0.030034;0;0;0;8.75;0.25;0.1883
0.031023;0;0;0;8.75;0.25;0.1883
0.032012;0;0;0;8.75;0.25;0.1883
0.033001;0;0;0;8.75;0.25;0.1883
0.034024;0;0;0;8.75;0.25;0.1883
0.035013;0;0;0;8.75;0.25;0.1883
0.036033;0;0;0;8.75;0.25;0.1883
0.037019;0;0;0;8.75;0.25;0.1883
0.038006;0;0;0;8.75;0.25;0.1883
0.039028;0;0;0;8.75;0.25;0.1883
0.040016;0;0;0;8.75;0.25;0.1883
0.041002;0;0;0;8.75;0.25;0.1883
0.042021;0;0;0;8.75;0.25;0.1883
0.043007;0;0;0;8.75;0.25;0.1883
0.044027;0;0;0;8.75;0.25;0.1883
0.045012;0;0;0;8.75;0.25;0.1883
0.046031;0;0;0;8.75;0.25;0.1883
0.047015;0;0;0;8.75;0.25;0.1883
0.048031;0;0;0;8.75;0.25;0.1883
0.049007;0;0;0;8.75;0.25;0.1883
0.050017;0;0;0;8.75;0.25;0.1883
0.051001;0;0;0;8.75;0.25;0.1883
0.052020;0;0;0;8.75;0.25;0.1883
0.053004;0;0;0;8.75;0.25;0.1883
0.054022;0;0;0;8.75;0.25;0.1883
0.055006;0;0;0;8.75;0.25;0.1883
0.056021;0;0;0;8.75;0.25;0.1883
0.057003;0;0;0;8.75;0.25;0.1883
0.058021;0;0;0;8.75;0.25;0.1883
0.059006;0;0;0;8.75;0.25;0.1883
0.060024;0;0;0;8.75;0.25;0.1883
0.061007;0;0;0;8.75;0.25;0.1883
0.062023;0;0;0;8.75;0.25;0.1883
0.063005;0;0;0;8.75;0.25;0.1883
0.064021;0;0;0;8.75;0.25;0.1883
0.065004;0;0;0;8.75;0.25;0.1883
0.066014;0;0;0;8.75;0.25;0.1883
0.067020;0;0;0;8.75;0.25;0.1883
0.068032;0;0;0;8.75;0.25;0.1883
0.069013;0;0;0;8.75;0.25;0.1883
0.070027;0;0;0;8.75;0.25;0.1883
0.071007;0;0;0;8.75;0.25;0.1883
0.072022;0;0;0;8.75;0.25;0.1883
0.073004;0;0;0;8.75;0.25;0.1883
0.074003;0;0;0;8.75;0.25;0.1883
0.075025;0;0;0;8.75;0.25;0.1883
0.076032;0;0;0;8.75;0.25;0.1883
0.077011;0;0;0;8.75;0.25;0.1883
0.078024;0;0;0;8.75;0.25;0.1883
0.079004;0;0;0;8.75;0.25;0.1883
0.080015;0;0;0;8.75;0.25;0.1883
0.081026;0;0;0;8.75;0.25;0.1883
0.082002;0;0;0;8.75;0.25;0.1883
0.083013;0;0;0;8.75;0.25;0.1883
0.084025;0;0;0;8.75;0.25;0.1883
0.085004;0;0;0;8.75;0.25;0.1883
0.086013;0;0;0;8.75;0.25;0.1883
0.087024;0;0;0;8.75;0.25;0.1883
0.088003;0;0;0;8.75;0.25;0.1883
0.089014;0;0;0;8.75;0.25;0.1883
0.090027;0;0;0;8.75;0.25;0.1883
0.091002;0;0;0;8.75;0.25;0.1883
0.092011;0;0;0;8.75;0.25;0.1883
0.093023;0;0;0;8.75;0.25;0.1883
0.094004;0;0;0;8.75;0.25;0.1883
0.095018;0;0;0;8.75;0.25;0.1883
0.096032;0;0;0;8.75;0.25;0.1883
0.097013;0;0;0;8.75;0.25;0.1883
0.098026;0;0;0;8.75;0.25;0.1883
0.099006;0;0;0;8.75;0.25;0.1883
0.100019;0;0;0;8.75;0.25;0.1883
0.101030;0;0;0;8.75;0.25;0.1883
0.102007;0;0;0;8.75;0.25;0.1883
0.103020;0;0;0;8.75;0.25;0.1883
0.104032;0;0;0;8.75;0.25;0.1883
0.105012;0;0;0;8.75;0.25;0.1883
0.106025;0;0;0;8.75;0.25;0.1883
0.107003;0;0;0;8.75;0.25;0.1883
0.108015;0;0;0;8.75;0.25;0.1883
0.109028;0;0;0;8.75;0.25;0.1883
0.110006;0;0;0;8.75;0.25;0.1883
0.111017;0;0;0;8.75;0.25;0.1883
0.112026;0;0;0;8.75;0.25;0.1883
0.113033;0;0;0;8.75;0.25;0.1883
0.114011;0;0;0;8.75;0.25;0.1883
0.115019;0;0;0;8.75;0.25;0.1883
0.116029;0;0;0;8.75;0.25;0.1883
