dam_height,friction_coefficient,boulder_mass,pred_margin_train_pct_deq,pred_std_pct_deq,u_value,min_scaled_distance_to_existing,pred_class
0.195,0.845,1.125,-6.275390560928074e-05,10.44964232435421,6.0053639791114035e-06,0.39548230048890926,FALLO
0.1875,0.775,1.2,-0.00018428897414812795,10.607105149145225,1.7374106465133093e-05,0.39521631324637313,FALLO
0.1875,0.87,0.975,0.00030561953004415443,10.58015238846281,2.8886117970984063e-05,0.4012745966331711,ESTABLE
0.175,0.79,0.95,-0.0004726875519112106,10.161762450923108,4.651629618326932e-05,0.34683754161972785,FALLO
0.1875,0.845,1.025,0.0005244893212457136,10.606483648877504,4.9449877886831176e-05,0.380101544664127,ESTABLE
0.1925,0.88,1.05,-0.0007031600296767415,10.634685106930167,6.611949696737671e-05,0.4293236210905446,FALLO
0.195,0.615,1.1,0.0005912454994443372,6.489392973057854,9.110952317095484e-05,0.1607521787590407,ESTABLE
0.21,0.665,1.225,0.0007349497448831954,7.6794350295634155,9.570362169271226e-05,0.21159230114329322,ESTABLE
0.185,0.855,0.9,-0.0010972050234210329,10.522857828154018,0.00010426873016238468,0.32533254214077395,FALLO
0.1825,0.795,0.9,-0.0013009316701766416,10.462658965853425,0.00012434044485463186,0.37194255332749787,FALLO
0.185,0.835,1.0,0.001426886989499998,10.648978570952556,0.00013399285011165426,0.3905124837953326,ESTABLE
0.2,0.87,1.15,0.0018946322297019869,10.483042742036565,0.00018073304443417079,0.38035678024299324,ESTABLE
0.18,0.81,0.975,0.0020464333967726844,10.534385352988261,0.00019426224959503535,0.4001250074992784,ESTABLE
0.1875,0.895,0.875,-0.0020548229979273636,10.208679713470664,0.00020128195374919644,0.2774943887957895,FALLO
0.175,0.73,0.85,0.0022726059356541484,9.601207782214058,0.00023670000558303136,0.3235294117647056,ESTABLE
0.18,0.73,0.875,-0.002452979372888464,9.560600185499132,0.00025657169270698295,0.34435088249751367,FALLO
0.1975,0.895,1.1,0.002881788476035929,10.717373597551934,0.00026888942984071393,0.45063392488366355,ESTABLE
0.2,0.825,1.2,-0.004268858443730039,9.9917180716069,0.0004272396812176147,0.30360079529964074,FALLO
0.2075,0.9,1.2,-0.004940288877626209,10.662972058856468,0.00046331255960878494,0.43321492704012504,FALLO
0.19,0.765,0.9,-0.00417623254507804,9.002938368176373,0.0004638743901479701,0.23994034004728554,FALLO
0.185,0.755,0.9,0.004694423027960415,9.937237414927797,0.0004724072528354755,0.33321400690016556,ESTABLE
0.1925,0.9,1.025,-0.005458748046733852,10.659215492181618,0.0005121153663454176,0.46142327673343336,FALLO
0.1925,0.86,1.075,-0.00542943091911452,10.558711808986407,0.0005142133829709297,0.4028989082596486,FALLO
0.18,0.765,1.2,-0.006323642117183503,10.652929905990785,0.000593605906824445,0.40098548584904115,FALLO
0.1925,0.64,1.05,-0.004669472037724276,7.79586763385536,0.0005989675886036615,0.22073034638025824,FALLO
0.2125,0.9,1.25,0.0064098863703563325,10.616583075572576,0.000603761711722868,0.3860119043649028,ESTABLE
0.2025,0.9,1.15,-0.0065983376982923225,10.701774884094933,0.0006165648006760272,0.4382352941176472,FALLO
0.1875,0.62,1.05,0.005748291305551323,9.070669984703569,0.0006337229019735464,0.2856312441111034,ESTABLE
0.19,0.87,1.025,-0.006923944478956834,10.60484884558214,0.0006529036462260015,0.41045550800110236,FALLO
0.18,0.775,1.175,0.007021350351765765,10.675862911983787,0.0006576845740388401,0.41420038549301313,ESTABLE
0.1825,0.815,0.925,0.007088090483679643,10.587507620292337,0.0006694767775272931,0.39733174171689156,ESTABLE
0.185,0.745,1.25,0.007180520627926068,10.579628087478548,0.0006787120084517762,0.363850990451579,ESTABLE
0.1875,0.825,1.075,0.0075655567275445534,10.60692313359694,0.0007132659143706141,0.38251198615229437,ESTABLE
0.1975,0.87,1.125,-0.00762954575978414,10.562338866690313,0.0007223348782952009,0.4136151958968825,FALLO
