case_id,dam_height,boulder_mass,boulder_rot_z,friction_coefficient,slope_inv
al5_highH_m085_mu0900,0.225,0.85,0,0.9,20
al5_base_m085_mu0795,0.2,0.85,0,0.795,20
al5_midH_m100_mu0744,0.21,1.0,0,0.744,20
al5_highH_m100_mu08625,0.225,1.0,0,0.8625,20
al5_midH_m115_mu0700,0.21,1.15,0,0.7,20
al5_highH_m115_mu0755,0.225,1.15,0,0.755,20
al5_midH_m125_mu0660,0.21,1.25,0,0.66,20
al5_highH_m125_mu0690,0.225,1.25,0,0.69,20
