time [s];velx [m/s];vely [m/s];velz [m/s];posx [m];posy [m];posz [m]
0.000000;0;0;0;3;0.5;0.1
0.001105;0.0603795;2.27124e-09;-0.0044686;3;0.5;0.1
0.002069;0.0709942;-1.87126e-09;-0.0218034;3;0.5;0.1
0.003034;0.0462579;-2.27404e-09;-0.0383324;3;0.5;0.1
0.004137;0.0182878;-1.44149e-08;-0.041793;3;0.5;0.1
0.005101;0.0191317;-1.58201e-08;-0.0418372;3;0.5;0.1
0.006065;0.0308447;-1.33041e-07;-0.0483556;3;0.5;0.1
0.007031;0.0354725;-1.45098e-07;-0.0550191;3;0.5;0.1
0.008135;0.0372151;-1.12904e-07;-0.0596841;3;0.5;0.1
0.009099;0.0460665;3.09859e-07;-0.0680178;3;0.5;0.1
0.010063;0.0574993;1.93561e-07;-0.0776614;3;0.5;0.1
0.011029;0.0656493;-6.44281e-08;-0.0819425;3;0.5;0.1
0.012130;0.0747812;-1.58594e-07;-0.0862181;3;0.5;0.1
0.013093;0.084944;1.98544e-08;-0.0955039;3;0.5;0.1
0.014057;0.0940946;2.5451e-08;-0.103555;3;0.5;0.1
0.015022;0.103038;1.98149e-07;-0.106495;3;0.5;0.1
0.016123;0.118159;9.80742e-08;-0.113386;3;0.5;0.1
0.017086;0.134485;-2.32873e-07;-0.125453;3;0.5;0.1
0.018049;0.149907;-1.2895e-07;-0.13457;3;0.5;0.1
0.019012;0.165293;1.88699e-08;-0.138629;3;0.5;0.1
0.020111;0.185224;-4.17638e-08;-0.146104;3;0.5;0.1
0.021073;0.202206;2.29327e-08;-0.155306;3;0.5;0.1
0.022036;0.215955;-3.29821e-08;-0.159909;3;0.5;0.1
0.023135;0.228394;-1.10742e-07;-0.161347;3;0.5;0.1
0.024097;0.23702;-8.55471e-08;-0.166551;3;0.5;0.1
0.025058;0.243338;1.08683e-07;-0.17387;3;0.5;0.1
0.026019;0.249847;-2.56457e-07;-0.17786;3;0.5;0.1
0.027118;0.262754;-1.42614e-07;-0.180839;3;0.5;0.1
0.028078;0.279535;3.2869e-07;-0.186887;3;0.5;0.1
0.029038;0.298246;3.18299e-07;-0.193923;3;0.5;0.1
0.030136;0.318886;-2.66569e-07;-0.199292;3;0.5;0.1
0.031096;0.33573;-3.55815e-07;-0.204525;3;0.5;0.1
0.032055;0.351116;1.51165e-07;-0.212287;3;0.5;0.1
0.033014;0.364803;9.52401e-08;-0.219212;3;0.5;0.1
0.034110;0.379389;-2.26642e-07;-0.223485;3;0.5;0.1
0.035069;0.392511;-2.50518e-07;-0.227288;3;0.5;0.1
0.036027;0.406107;7.65818e-08;-0.233088;3;0.5;0.1
0.037122;0.421129;1.53859e-08;-0.239282;3;0.5;0.1
0.038080;0.43321;2.97522e-07;-0.243079;3;0.5;0.1
0.039037;0.444793;1.47102e-07;-0.247138;3;0.5;0.1
0.040131;0.458245;-3.02332e-08;-0.252509;3;0.5;0.1
0.041087;0.469712;-1.53738e-07;-0.25619;3;0.5;0.1
0.042044;0.479817;1.52902e-08;-0.259096;3;0.5;0.1
0.043136;0.489754;5.68249e-07;-0.263343;3;0.5;0.1
0.044092;0.498207;1.72633e-07;-0.267677;3;0.5;0.1
0.045047;0.507016;-3.69274e-07;-0.271711;3;0.5;0.1
0.046001;0.516195;-1.31771e-07;-0.27614;3;0.5;0.1
0.047092;0.527859;2.47743e-07;-0.282601;3;0.5;0.1
0.048045;0.539713;4.04082e-07;-0.288379;3;0.5;0.1
0.049135;0.554044;-3.78121e-07;-0.294065;3;0.5;0.1
0.050088;0.565613;-2.50205e-07;-0.299131;3;0.5;0.1
0.051041;0.575799;4.26407e-08;-0.304718;3;0.5;0.1
0.052130;0.586275;3.2258e-07;-0.310812;3;0.5;0.1
0.053083;0.594765;3.25606e-07;-0.315797;3;0.5;0.1
0.054035;0.60299;-2.67951e-08;-0.320981;3;0.5;0.1
0.055124;0.612699;-4.51652e-07;-0.326435;3;0.5;0.1
0.056076;0.62138;-9.30895e-08;-0.330006;3;0.5;0.1
0.057029;0.62966;-1.25515e-07;-0.333287;3;0.5;0.1
0.058117;0.638522;-1.63628e-07;-0.337878;3;0.5;0.1
0.059070;0.646025;4.06033e-08;-0.34193;3;0.5;0.1
0.060024;0.653144;6.1417e-07;-0.345205;3;0.5;0.1
0.061113;0.660602;2.76902e-07;-0.348682;3;0.5;0.1
0.062066;0.666908;-2.74102e-07;-0.352039;3;0.5;0.1
0.063018;0.673254;-3.311e-07;-0.355324;3;0.5;0.1
0.064107;0.680345;1.93154e-08;-0.359124;3;0.5;0.1
0.065059;0.686631;1.66605e-07;-0.363226;3;0.5;0.1
0.066011;0.69358;9.97252e-08;-0.367882;3;0.5;0.1
0.067099;0.702282;-1.44011e-07;-0.372911;3;0.5;0.1
0.068051;0.709945;-2.46548e-07;-0.377108;3;0.5;0.1
0.069003;0.717445;-2.6414e-07;-0.381572;3;0.5;0.1
0.070092;0.725779;2.34077e-07;-0.386524;3;0.5;0.1
0.071047;0.732331;1.51777e-07;-0.39004;3;0.5;0.1
0.072001;0.737837;-1.00274e-07;-0.392958;3;0.5;0.1
0.073091;0.743332;-2.59362e-07;-0.396046;3;0.5;0.1
0.074044;0.747834;1.17229e-07;-0.398298;3;0.5;0.1
0.075133;0.752474;7.71427e-08;-0.399994;3;0.5;0.1
0.076086;0.756202;-3.89715e-09;-0.40097;3;0.5;0.1
0.077039;0.760077;-3.30651e-08;-0.401726;3;0.5;0.1
0.078127;0.764706;-1.10701e-07;-0.402244;3;0.5;0.1
0.079080;0.768624;1.43733e-07;-0.402492;3;0.5;0.1
0.080032;0.77259;3.55777e-07;-0.402869;3;0.5;0.1
0.081120;0.77766;2.90308e-07;-0.403474;3;0.5;0.1
0.082072;0.782477;-2.28589e-08;-0.403838;3;0.5;0.1
0.083024;0.787371;-1.84567e-07;-0.403967;3;0.5;0.1
0.084111;0.793152;2.93835e-07;-0.404059;3;0.5;0.1
0.085062;0.798427;2.33759e-07;-0.404126;3;0.5;0.1
0.086013;0.803587;3.00379e-07;-0.403993;3;0.5;0.1
0.087098;0.809108;1.87659e-07;-0.403491;3;0.5;0.1
0.088046;0.813857;-2.88911e-07;-0.402815;3;0.5;0.1
