case_id,dam_height,boulder_mass,boulder_rot_z,friction_coefficient,slope_inv
batch3_base_mu0678,0.20,1.0,0,0.678,20
batch3_base_mu0680,0.20,1.0,0,0.680,20
batch3_base_mu0682,0.20,1.0,0,0.682,20
batch3_lowH_mu0600,0.175,1.0,0,0.600,20
batch3_lowH_mu0640,0.175,1.0,0,0.640,20
batch3_lowH_mu0660,0.175,1.0,0,0.660,20
batch3_highH_mu0760,0.225,1.0,0,0.760,20
batch3_highH_mu0800,0.225,1.0,0,0.800,20
batch3_midH_mu0700,0.210,1.0,0,0.700,20
batch3_midH_mu0740,0.210,1.0,0,0.740,20
