time [s];zmax [m];posx [m];posy [m];posz [m]
0.000000;-3.40282e+38;8.25;0.5086;0.003
0.001013;-3.40282e+38;8.25;0.5086;0.003
0.002005;-3.40282e+38;8.25;0.5086;0.003
0.003016;-3.40282e+38;8.25;0.5086;0.003
0.004009;-3.40282e+38;8.25;0.5086;0.003
0.005002;-3.40282e+38;8.25;0.5086;0.003
0.006014;-3.40282e+38;8.25;0.5086;0.003
0.007006;-3.40282e+38;8.25;0.5086;0.003
0.008017;-3.40282e+38;8.25;0.5086;0.003
0.009009;-3.40282e+38;8.25;0.5086;0.003
0.010000;-3.40282e+38;8.25;0.5086;0.003
0.011011;-3.40282e+38;8.25;0.5086;0.003
0.012002;-3.40282e+38;8.25;0.5086;0.003
0.013012;-3.40282e+38;8.25;0.5086;0.003
0.014002;-3.40282e+38;8.25;0.5086;0.003
0.015012;-3.40282e+38;8.25;0.5086;0.003
0.016001;-3.40282e+38;8.25;0.5086;0.003
0.017011;-3.40282e+38;8.25;0.5086;0.003
0.018000;-3.40282e+38;8.25;0.5086;0.003
0.019009;-3.40282e+38;8.25;0.5086;0.003
0.020017;-3.40282e+38;8.25;0.5086;0.003
0.021004;-3.40282e+38;8.25;0.5086;0.003
0.022010;-3.40282e+38;8.25;0.5086;0.003
0.023016;-3.40282e+38;8.25;0.5086;0.003
0.024002;-3.40282e+38;8.25;0.5086;0.003
0.025007;-3.40282e+38;8.25;0.5086;0.003
0.026011;-3.40282e+38;8.25;0.5086;0.003
0.027015;-3.40282e+38;8.25;0.5086;0.003
0.028019;-3.40282e+38;8.25;0.5086;0.003
0.029002;-3.40282e+38;8.25;0.5086;0.003
0.030004;-3.40282e+38;8.25;0.5086;0.003
0.031007;-3.40282e+38;8.25;0.5086;0.003
0.032010;-3.40282e+38;8.25;0.5086;0.003
0.033012;-3.40282e+38;8.25;0.5086;0.003
0.034013;-3.40282e+38;8.25;0.5086;0.003
0.035014;-3.40282e+38;8.25;0.5086;0.003
0.036016;-3.40282e+38;8.25;0.5086;0.003
0.037017;-3.40282e+38;8.25;0.5086;0.003
0.038019;-3.40282e+38;8.25;0.5086;0.003
0.039000;-3.40282e+38;8.25;0.5086;0.003
0.040001;-3.40282e+38;8.25;0.5086;0.003
0.041002;-3.40282e+38;8.25;0.5086;0.003
0.042002;-3.40282e+38;8.25;0.5086;0.003
0.043002;-3.40282e+38;8.25;0.5086;0.003
0.044001;-3.40282e+38;8.25;0.5086;0.003
0.045001;-3.40282e+38;8.25;0.5086;0.003
0.046001;-3.40282e+38;8.25;0.5086;0.003
0.047000;-3.40282e+38;8.25;0.5086;0.003
0.048019;-3.40282e+38;8.25;0.5086;0.003
0.049018;-3.40282e+38;8.25;0.5086;0.003
0.050017;-3.40282e+38;8.25;0.5086;0.003
0.051016;-3.40282e+38;8.25;0.5086;0.003
0.052014;-3.40282e+38;8.25;0.5086;0.003
0.053012;-3.40282e+38;8.25;0.5086;0.003
0.054008;-3.40282e+38;8.25;0.5086;0.003
0.055004;-3.40282e+38;8.25;0.5086;0.003
0.056001;-3.40282e+38;8.25;0.5086;0.003
0.057018;-3.40282e+38;8.25;0.5086;0.003
0.058015;-3.40282e+38;8.25;0.5086;0.003
0.059013;-3.40282e+38;8.25;0.5086;0.003
0.060009;-3.40282e+38;8.25;0.5086;0.003
0.061006;-3.40282e+38;8.25;0.5086;0.003
0.062002;-3.40282e+38;8.25;0.5086;0.003
0.063019;-3.40282e+38;8.25;0.5086;0.003
0.064016;-3.40282e+38;8.25;0.5086;0.003
0.065011;-3.40282e+38;8.25;0.5086;0.003
0.066007;-3.40282e+38;8.25;0.5086;0.003
0.067004;-3.40282e+38;8.25;0.5086;0.003
0.068019;-3.40282e+38;8.25;0.5086;0.003
0.069015;-3.40282e+38;8.25;0.5086;0.003
0.070011;-3.40282e+38;8.25;0.5086;0.003
0.071007;-3.40282e+38;8.25;0.5086;0.003
0.072003;-3.40282e+38;8.25;0.5086;0.003
0.073017;-3.40282e+38;8.25;0.5086;0.003
0.074010;-3.40282e+38;8.25;0.5086;0.003
0.075002;-3.40282e+38;8.25;0.5086;0.003
0.076015;-3.40282e+38;8.25;0.5086;0.003
0.077008;-3.40282e+38;8.25;0.5086;0.003
0.078019;-3.40282e+38;8.25;0.5086;0.003
0.079012;-3.40282e+38;8.25;0.5086;0.003
0.080006;-3.40282e+38;8.25;0.5086;0.003
0.081019;-3.40282e+38;8.25;0.5086;0.003
0.082012;-3.40282e+38;8.25;0.5086;0.003
0.083006;-3.40282e+38;8.25;0.5086;0.003
0.084019;-3.40282e+38;8.25;0.5086;0.003
0.085011;-3.40282e+38;8.25;0.5086;0.003
0.086004;-3.40282e+38;8.25;0.5086;0.003
0.087016;-3.40282e+38;8.25;0.5086;0.003
0.088009;-3.40282e+38;8.25;0.5086;0.003
0.089000;-3.40282e+38;8.25;0.5086;0.003
0.090013;-3.40282e+38;8.25;0.5086;0.003
0.091005;-3.40282e+38;8.25;0.5086;0.003
0.092018;-3.40282e+38;8.25;0.5086;0.003
0.093011;-3.40282e+38;8.25;0.5086;0.003
0.094011;-3.40282e+38;8.25;0.5086;0.003
0.095002;-3.40282e+38;8.25;0.5086;0.003
0.096005;-3.40282e+38;8.25;0.5086;0.003
0.097014;-3.40282e+38;8.25;0.5086;0.003
0.098006;-3.40282e+38;8.25;0.5086;0.003
0.099015;-3.40282e+38;8.25;0.5086;0.003
0.100009;-3.40282e+38;8.25;0.5086;0.003
0.101019;-3.40282e+38;8.25;0.5086;0.003
0.102010;-3.40282e+38;8.25;0.5086;0.003
0.103002;-3.40282e+38;8.25;0.5086;0.003
0.104014;-3.40282e+38;8.25;0.5086;0.003
0.105002;-3.40282e+38;8.25;0.5086;0.003
0.106005;-3.40282e+38;8.25;0.5086;0.003
0.107014;-3.40282e+38;8.25;0.5086;0.003
0.108002;-3.40282e+38;8.25;0.5086;0.003
0.109003;-3.40282e+38;8.25;0.5086;0.003
0.110004;-3.40282e+38;8.25;0.5086;0.003
0.111013;-3.40282e+38;8.25;0.5086;0.003
0.112003;-3.40282e+38;8.25;0.5086;0.003
0.113003;-3.40282e+38;8.25;0.5086;0.003
0.114008;-3.40282e+38;8.25;0.5086;0.003
0.115019;-3.40282e+38;8.25;0.5086;0.003
0.116007;-3.40282e+38;8.25;0.5086;0.003
0.117015;-3.40282e+38;8.25;0.5086;0.003
0.118004;-3.40282e+38;8.25;0.5086;0.003
0.119012;-3.40282e+38;8.25;0.5086;0.003
0.120015;-3.40282e+38;8.25;0.5086;0.003
0.121014;-3.40282e+38;8.25;0.5086;0.003
0.122018;-3.40282e+38;8.25;0.5086;0.003
0.123016;-3.40282e+38;8.25;0.5086;0.003
0.124016;-3.40282e+38;8.25;0.5086;0.003
0.125001;-3.40282e+38;8.25;0.5086;0.003
0.126009;-3.40282e+38;8.25;0.5086;0.003
0.127008;-3.40282e+38;8.25;0.5086;0.003
0.128011;-3.40282e+38;8.25;0.5086;0.003
0.129013;-3.40282e+38;8.25;0.5086;0.003
0.130011;-3.40282e+38;8.25;0.5086;0.003
0.131012;-3.40282e+38;8.25;0.5086;0.003
0.132010;-3.40282e+38;8.25;0.5086;0.003
0.133016;-3.40282e+38;8.25;0.5086;0.003
0.134012;-3.40282e+38;8.25;0.5086;0.003
0.135004;-3.40282e+38;8.25;0.5086;0.003
0.136002;-3.40282e+38;8.25;0.5086;0.003
0.137001;-3.40282e+38;8.25;0.5086;0.003
0.138018;-3.40282e+38;8.25;0.5086;0.003
0.139015;-3.40282e+38;8.25;0.5086;0.003
0.140012;-3.40282e+38;8.25;0.5086;0.003
0.141015;-3.40282e+38;8.25;0.5086;0.003
0.142019;-3.40282e+38;8.25;0.5086;0.003
0.143003;-3.40282e+38;8.25;0.5086;0.003
0.144010;-3.40282e+38;8.25;0.5086;0.003
0.145017;-3.40282e+38;8.25;0.5086;0.003
0.146014;-3.40282e+38;8.25;0.5086;0.003
0.147019;-3.40282e+38;8.25;0.5086;0.003
0.148005;-3.40282e+38;8.25;0.5086;0.003
0.149012;-3.40282e+38;8.25;0.5086;0.003
0.150008;-3.40282e+38;8.25;0.5086;0.003
0.151008;-3.40282e+38;8.25;0.5086;0.003
0.152017;-3.40282e+38;8.25;0.5086;0.003
0.153018;-3.40282e+38;8.25;0.5086;0.003
0.154004;-3.40282e+38;8.25;0.5086;0.003
0.155013;-3.40282e+38;8.25;0.5086;0.003
0.156015;-3.40282e+38;8.25;0.5086;0.003
