dam_height,friction_coefficient,boulder_mass,pred_margin_train_pct_deq,pred_std_pct_deq,u_value,min_scaled_distance_to_existing,pred_class
0.175,0.775,0.925,4.798272730477393e-05,9.706944693546108,4.9431338922402065e-06,0.3364924728074245,ESTABLE
0.185,0.765,0.9,-0.00037581514250151216,9.861809600487105,3.810813204940718e-05,0.32798074148036016,FALLO
0.175,0.795,1.025,-0.0004899340556070442,9.966182996556938,4.9159648761843395e-05,0.3439612829765161,FALLO
0.1825,0.765,0.9,0.0009453886568326908,9.93742240311193,9.513419259873111e-05,0.37426109440069644,ESTABLE
0.1975,0.835,1.15,-0.001214079848661953,10.007265184115113,0.00012131984376600549,0.3334054131986654,FALLO
0.1825,0.56,1.075,-0.0011001783586825908,8.929475478028298,0.00012320750097691025,0.2673893798373954,FALLO
0.225,0.9,0.975,0.0005335394582548503,3.511239783735591,0.00015195187202141696,0.08582807007300569,ESTABLE
0.18,0.765,0.9,0.002363341594397994,9.860992959474613,0.00023966568114492108,0.36742346141747645,ESTABLE
0.1925,0.82,1.125,-0.0026195156884067927,10.187104241442249,0.0002571403635735915,0.3969233156569546,FALLO
0.2075,0.885,1.2,-0.002682352265264587,10.251899145232823,0.00026164442580491347,0.39152185106529075,FALLO
0.2025,0.805,1.25,0.0025462768422261917,9.522388418137202,0.00026739896866379183,0.32018323041355906,ESTABLE
0.18,0.805,0.975,-0.002818140840328276,10.27027169887082,0.0002743978857577688,0.3860966328027114,FALLO
0.1875,0.765,0.9,0.002938475468652779,9.526022081534062,0.00030846826130590503,0.2829688441896156,ESTABLE
0.215,0.84,1.0,-0.001837702425155019,5.835486451259979,0.000314918463182776,0.15440476174596082,FALLO
0.2075,0.62,1.225,0.0023392189751341164,7.42525232966092,0.00031503562051212115,0.17281914712339233,ESTABLE
0.1825,0.81,1.05,0.003589428173831788,10.452406418943085,0.0003434068701467883,0.4114205494528815,ESTABLE
0.18,0.76,1.2,-0.004525157345449671,10.421379550484577,0.00043421864864703295,0.3875467378890485,FALLO
0.1775,0.785,1.125,-0.004812932200443321,10.365885927314567,0.00046430495513756015,0.4339163659390572,FALLO
0.18,0.795,1.1,0.004933672967368352,10.426672242155657,0.00047317810062358584,0.43232292812994666,ESTABLE
0.19,0.82,1.1,0.005370592597790047,10.296003732990236,0.0005216191385577286,0.3806409637080527,ESTABLE
0.1975,0.88,1.1,-0.0054601818841284455,10.390740269423583,0.000525485359324723,0.42469203171157777,FALLO
0.19,0.875,1.0,0.005814319429268799,10.347007720926735,0.0005619324529456788,0.4185264147716268,ESTABLE
0.1825,0.595,0.975,-0.004682036353039543,7.724316811339488,0.0006061424547172368,0.16316406766129155,FALLO
0.175,0.78,1.125,0.006543718945606347,10.263510324755137,0.0006375712342611033,0.41648099957906926,ESTABLE
0.185,0.765,1.2,-0.006925567856685966,10.477466302258776,0.0006609964333831608,0.4100304866714177,FALLO
0.175,0.785,0.95,-0.006492984418767556,9.787431316818202,0.0006634002537120943,0.33316208115321133,FALLO
0.195,0.805,1.175,-0.006779063531321405,9.994373185398056,0.0006782880132217848,0.33380166422302676,FALLO
0.185,0.835,0.9,0.007380794656610679,10.319799485244898,0.0007152071769575483,0.32798074148036016,ESTABLE
0.1875,0.885,0.875,0.0073491923395643255,10.000425033573801,0.0007348879987491138,0.2679791491785576,ESTABLE
0.1875,0.86,0.975,-0.007625387098782355,10.373199909718139,0.0007351046123807728,0.40019526483955303,FALLO
0.1875,0.82,1.075,-0.007715499277442195,10.4070786269436,0.00074137032629563,0.37422425529700104,FALLO
0.195,0.835,1.125,-0.007661129705074821,10.126797667465194,0.0007565204674412831,0.3775783621318533,FALLO
0.175,0.56,1.25,-0.0076102697132527375,9.97354346435898,0.0007630457259696819,0.343312280292022,FALLO
0.1875,0.62,1.05,-0.006839068215767963,8.919932384624925,0.000766717495253163,0.2856312441111034,FALLO
0.2175,0.83,1.05,0.0056302270043770974,6.404975693760856,0.0008790395582391784,0.2142672796486378,ESTABLE
0.195,0.705,0.95,-0.005428174154604282,6.119076103723565,0.000887090479443499,0.16075217875904066,FALLO
0.1975,0.78,1.25,-0.008715455727175137,9.566531853000832,0.0009110360850824281,0.312844965307641,FALLO
0.18,0.78,1.15,0.009685916075644396,10.468450784954372,0.0009252482792930939,0.4237336109047531,ESTABLE
0.1975,0.855,1.125,0.009471631492612431,10.17691412276505,0.0009306977909368537,0.3801015446641267,ESTABLE
0.1825,0.805,1.075,0.010317287851609791,10.474422598853234,0.0009849982425511807,0.42874709336531286,ESTABLE
0.1825,0.62,0.9,0.00775622004603882,7.8513384111965765,0.0009878850763809775,0.1952562418976663,ESTABLE
0.2075,0.71,1.1,-0.004491725606218022,4.4266183476638705,0.001014708125580218,0.14691905122364732,FALLO
0.1875,0.885,0.9,-0.01067800476573355,10.101939448365169,0.0010570252197918838,0.2890182942210815,FALLO
0.18,0.8,0.95,-0.010832494136771675,10.23578349301041,0.0010582965284648385,0.38754673788904825,FALLO
0.1775,0.8,1.0,0.01072963965462792,10.088767645300353,0.0010635233193843096,0.3564652494261434,ESTABLE
0.1825,0.815,0.975,0.011521759605025661,10.404936877444936,0.0011073358484279309,0.4036764705882353,ESTABLE
0.1875,0.88,0.925,-0.011315158039667761,10.211652834848186,0.001108063329479108,0.3179881406789516,FALLO
0.1875,0.87,0.95,0.011569974349399104,10.302991178191148,0.0011229723630054851,0.35477464946514176,ESTABLE
0.1925,0.66,1.0,-0.00836874912685559,7.351439691422877,0.0011383823411648874,0.1563533395294354,FALLO
0.1825,0.815,1.0,0.012383544942549118,10.417239915356413,0.0011887548950747422,0.39880877987648966,ESTABLE
0.18,0.715,0.875,-0.01108974248509531,8.903980401285317,0.0012454814572023572,0.30327740478983156,FALLO
0.1875,0.645,1.0,0.010986544127870701,8.808043927245977,0.0012473307602252877,0.25043215244009415,ESTABLE
0.19,0.75,1.25,-0.012575411056783281,9.98545404057447,0.0012593729845116336,0.2977568967298206,FALLO
0.185,0.655,0.95,0.01110372138247584,8.661722508814721,0.0012819299361269889,0.23630756013250742,ESTABLE
0.1875,0.78,1.175,0.013630511712998228,10.433403207206812,0.0013064300729393574,0.39103892429196685,ESTABLE
0.175,0.76,0.9,0.012606301007163534,9.573023545564771,0.001316856784814112,0.3433122802920219,ESTABLE
0.185,0.84,0.925,-0.014005841553974108,10.384244203120478,0.0013487588773927319,0.35863136730137907,FALLO
0.19,0.89,0.975,0.01397930696753047,10.28231774176066,0.0013595482379185266,0.38136821724945524,ESTABLE
0.2,0.855,1.15,0.013734704479113624,10.051649813647936,0.0013664129504853562,0.34361451403579446,ESTABLE
0.195,0.875,1.075,-0.014250042574903254,10.373308640376301,0.0013737220272648657,0.4169117647058823,FALLO
0.1825,0.735,1.25,-0.014517735530120035,10.37701206956674,0.0013990284903585717,0.391971770044873,FALLO
0.19,0.81,1.125,-0.014465228619462867,10.329775041811029,0.0014003430433781648,0.410850481942167,FALLO
0.21,0.89,1.225,-0.014576536119766725,10.339743846472189,0.0014097579530211162,0.40493882766690703,FALLO
0.18,0.8,1.075,0.015147854413859907,10.382424706209221,0.0014589900569949962,0.41197539252780946,ESTABLE
0.205,0.675,1.125,0.007758080323540195,4.751194449297151,0.001632869461843689,0.11883817978990756,ESTABLE
0.185,0.805,1.1,-0.01816003869661431,10.516711254343445,0.0017267792428086693,0.4226911639355667,FALLO
0.1825,0.75,1.225,-0.018209935554210244,10.435096802914314,0.0017450662795119281,0.4028989082596484,FALLO
0.1825,0.805,0.925,-0.018294099884379023,10.340661045349103,0.0017691422051402943,0.39733174171689156,FALLO
0.175,0.74,1.225,-0.01895607904373886,10.146106590858512,0.0018683106543367217,0.34880000044641446,FALLO
0.18,0.805,1.05,-0.01978410042991463,10.362932994581975,0.0019091217168205556,0.40098548584904137,FALLO
0.2075,0.855,1.225,0.01866043185536359,9.764035451355387,0.0019111392977143838,0.3401869842543293,ESTABLE
0.175,0.72,0.85,-0.017522651167504844,8.966849046379517,0.0019541592678620915,0.2941176470588234,FALLO
0.2175,0.705,1.225,0.012886674983037416,6.56946823670521,0.0019616009270026578,0.16316406766129113,ESTABLE
0.1925,0.795,1.175,-0.020169620543659672,10.143533916787604,0.001988421462294995,0.37013934648068497,FALLO
0.1825,0.77,0.9,-0.020142957532187644,10.008538741180217,0.0020125772655809645,0.3728136959704059,FALLO
0.1875,0.605,1.075,0.018366013175948215,9.042458030677079,0.0020310863609914903,0.31284582940448247,ESTABLE
0.1925,0.77,1.225,-0.020363825295026228,9.902895294538531,0.0020563506620386936,0.3232293059981651,FALLO
0.1825,0.76,0.9,0.02040898659880419,9.862216244082312,0.002069411792815662,0.3746509332689667,ESTABLE
0.1825,0.8,1.1,-0.021814951121939874,10.51291374436371,0.0020750623140643053,0.45456165431969153,FALLO
0.18,0.675,0.85,0.01628700227026103,7.607361444270991,0.002140952863824346,0.19017839012149673,ESTABLE
0.2025,0.855,1.175,-0.021252046237845157,9.884374584108022,0.0021500648378918975,0.32322930599816463,FALLO
0.1775,0.8,1.05,-0.022084159507301138,10.214208853058949,0.0021621018157157827,0.3777465738407731,FALLO
