time [s];velx [m/s];vely [m/s];velz [m/s];posx [m];posy [m];posz [m]
0.000000;0;0;0;8.75;0.25;0.28
0.001020;0;0;0;8.75;0.25;0.28
0.002005;0;0;0;8.75;0.25;0.28
0.003023;0;0;0;8.75;0.25;0.28
0.004007;0;0;0;8.75;0.25;0.28
0.005025;0;0;0;8.75;0.25;0.28
0.006010;0;0;0;8.75;0.25;0.28
0.007028;0;0;0;8.75;0.25;0.28
0.008013;0;0;0;8.75;0.25;0.28
0.009031;0;0;0;8.75;0.25;0.28
0.010015;0;0;0;8.75;0.25;0.28
0.011032;0;0;0;8.75;0.25;0.28
0.012015;0;0;0;8.75;0.25;0.28
0.013032;0;0;0;8.75;0.25;0.28
0.014014;0;0;0;8.75;0.25;0.28
0.015030;0;0;0;8.75;0.25;0.28
0.016012;0;0;0;8.75;0.25;0.28
0.017027;0;0;0;8.75;0.25;0.28
0.018008;0;0;0;8.75;0.25;0.28
0.019023;0;0;0;8.75;0.25;0.28
0.020003;0;0;0;8.75;0.25;0.28
0.021018;0;0;0;8.75;0.25;0.28
0.022032;0;0;0;8.75;0.25;0.28
0.023012;0;0;0;8.75;0.25;0.28
0.024026;0;0;0;8.75;0.25;0.28
0.025006;0;0;0;8.75;0.25;0.28
0.026020;0;0;0;8.75;0.25;0.28
0.027033;0;0;0;8.75;0.25;0.28
0.028012;0;0;0;8.75;0.25;0.28
0.029023;0;0;0;8.75;0.25;0.28
0.030033;0;0;0;8.75;0.25;0.28
0.031009;0;0;0;8.75;0.25;0.28
0.032018;0;0;0;8.75;0.25;0.28
0.033028;0;0;0;8.75;0.25;0.28
0.034003;0;0;0;8.75;0.25;0.28
0.035012;0;0;0;8.75;0.25;0.28
0.036018;0;0;0;8.75;0.25;0.28
0.037025;0;0;0;8.75;0.25;0.28
0.038033;0;0;0;8.75;0.25;0.28
0.039007;0;0;0;8.75;0.25;0.28
0.040014;0;0;0;8.75;0.25;0.28
0.041021;0;0;0;8.75;0.25;0.28
0.042026;0;0;0;8.75;0.25;0.28
0.043032;0;0;0;8.75;0.25;0.28
0.044005;0;0;0;8.75;0.25;0.28
0.045011;0;0;0;8.75;0.25;0.28
0.046015;0;0;0;8.75;0.25;0.28
0.047019;0;0;0;8.75;0.25;0.28
0.048021;0;0;0;8.75;0.25;0.28
0.049016;0;0;0;8.75;0.25;0.28
0.050014;0;0;0;8.75;0.25;0.28
0.051019;0;0;0;8.75;0.25;0.28
0.052024;0;0;0;8.75;0.25;0.28
0.053028;0;0;0;8.75;0.25;0.28
0.054033;0;0;0;8.75;0.25;0.28
0.055002;0;0;0;8.75;0.25;0.28
0.056003;0;0;0;8.75;0.25;0.28
0.057007;0;0;0;8.75;0.25;0.28
0.058012;0;0;0;8.75;0.25;0.28
0.059017;0;0;0;8.75;0.25;0.28
0.060021;0;0;0;8.75;0.25;0.28
0.061024;0;0;0;8.75;0.25;0.28
0.062026;0;0;0;8.75;0.25;0.28
0.063028;0;0;0;8.75;0.25;0.28
0.064031;0;0;0;8.75;0.25;0.28
0.065000;0;0;0;8.75;0.25;0.28
0.066026;0;0;0;8.75;0.25;0.28
0.067020;0;0;0;8.75;0.25;0.28
0.068020;0;0;0;8.75;0.25;0.28
0.069021;0;0;0;8.75;0.25;0.28
0.070022;0;0;0;8.75;0.25;0.28
0.071023;0;0;0;8.75;0.25;0.28
0.072024;0;0;0;8.75;0.25;0.28
0.073025;0;0;0;8.75;0.25;0.28
