case_id,file,bytes,last_write_time,copied_to_export
batch2_base_mu0700,GaugesVel_V06.csv,360069,2026-05-04T07:16:19,False
batch2_base_mu0700,GaugesVel_V07.csv,547972,2026-05-04T07:16:19,False
batch2_base_mu0700,GaugesVel_V08.csv,490070,2026-05-04T07:16:19,False
batch2_base_mu0700,GaugesVel_V09.csv,460146,2026-05-04T07:16:19,False
batch2_base_mu0700,GaugesVel_V10.csv,497069,2026-05-04T07:16:19,False
batch2_base_mu0700,GaugesVel_V11.csv,429104,2026-05-04T07:16:19,False
batch2_base_mu0700,GaugesVel_V12.csv,280069,2026-05-04T07:16:19,False
batch2_base_mu0700,Run.csv,1073,2026-05-04T07:16:19,True
batch2_base_mu0700,RunPARTs.csv,2549,2026-05-04T07:16:19,True
batch2_h0175_mu0680,ChronoBody_forces.csv,1635204,2026-05-04T20:40:25,False
batch2_h0175_mu0680,ChronoExchange_mkbound_51.csv,1644921,2026-05-04T20:40:25,False
batch2_h0175_mu0680,GaugesMaxZ_hmax01.csv,337100,2026-05-04T20:40:27,False
batch2_h0175_mu0680,GaugesMaxZ_hmax02.csv,301214,2026-05-04T20:40:27,False
batch2_h0175_mu0680,GaugesMaxZ_hmax03.csv,364471,2026-05-04T20:40:27,False
batch2_h0175_mu0680,GaugesMaxZ_hmax04.csv,364368,2026-05-04T20:40:27,False
batch2_h0175_mu0680,GaugesMaxZ_hmax05.csv,384896,2026-05-04T20:40:27,False
batch2_h0175_mu0680,GaugesMaxZ_hmax06.csv,356322,2026-05-04T20:40:27,False
batch2_h0175_mu0680,GaugesMaxZ_hmax07.csv,338799,2026-05-04T20:40:27,False
batch2_h0175_mu0680,GaugesMaxZ_hmax08.csv,340045,2026-05-04T20:40:27,False
batch2_h0175_mu0680,GaugesVel_V01.csv,594439,2026-05-04T20:40:27,False
batch2_h0175_mu0680,GaugesVel_V02.csv,545614,2026-05-04T20:40:27,False
batch2_h0175_mu0680,GaugesVel_V03.csv,563392,2026-05-04T20:40:27,False
batch2_h0175_mu0680,GaugesVel_V04.csv,527604,2026-05-04T20:40:27,False
batch2_h0175_mu0680,GaugesVel_V05.csv,565294,2026-05-04T20:40:27,False
batch2_h0175_mu0680,GaugesVel_V06.csv,360069,2026-05-04T20:40:27,False
batch2_h0175_mu0680,GaugesVel_V07.csv,537600,2026-05-04T20:40:27,False
batch2_h0175_mu0680,GaugesVel_V08.csv,482105,2026-05-04T20:40:27,False
batch2_h0175_mu0680,GaugesVel_V09.csv,453340,2026-05-04T20:40:27,False
batch2_h0175_mu0680,GaugesVel_V10.csv,486192,2026-05-04T20:40:27,False
batch2_h0175_mu0680,GaugesVel_V11.csv,423668,2026-05-04T20:40:27,False
batch2_h0175_mu0680,GaugesVel_V12.csv,280069,2026-05-04T20:40:27,False
batch2_h0175_mu0680,Run.csv,1082,2026-05-04T20:40:27,True
