time [s];zmax [m];posx [m];posy [m];posz [m]
0.000000;0.44;0.25;0.75;0.05
0.001004;0.439999;0.25;0.75;0.05
0.002005;0.439998;0.25;0.75;0.05
0.003007;0.439997;0.25;0.75;0.05
0.004009;0.439996;0.25;0.75;0.05
0.005010;0.439994;0.25;0.75;0.05
0.006013;0.439992;0.25;0.75;0.05
0.007015;0.43999;0.25;0.75;0.05
0.008017;0.439985;0.25;0.75;0.05
0.009019;0.439979;0.25;0.75;0.05
0.010020;0.439972;0.25;0.75;0.05
0.011021;0.439953;0.25;0.75;0.05
0.012022;0.439924;0.25;0.75;0.05
0.013022;0.439922;0.25;0.75;0.05
0.014023;0.439919;0.25;0.75;0.05
0.015022;0.439908;0.25;0.75;0.05
0.016022;0.439903;0.25;0.75;0.05
0.017021;0.439901;0.25;0.75;0.05
0.018020;0.439898;0.25;0.75;0.05
0.019018;0.439895;0.25;0.75;0.05
0.020017;0.439892;0.25;0.75;0.05
0.021016;0.43989;0.25;0.75;0.05
0.022014;0.439889;0.25;0.75;0.05
0.023012;0.439889;0.25;0.75;0.05
0.024010;0.439889;0.25;0.75;0.05
0.025008;0.43989;0.25;0.75;0.05
0.026005;0.439892;0.25;0.75;0.05
0.027002;0.439895;0.25;0.75;0.05
0.028029;0.439898;0.25;0.75;0.05
0.029024;0.439901;0.25;0.75;0.05
0.030018;0.439905;0.25;0.75;0.05
0.031012;0.439908;0.25;0.75;0.05
0.032006;0.439913;0.25;0.75;0.05
0.033031;0.43992;0.25;0.75;0.05
0.034024;0.439927;0.25;0.75;0.05
0.035015;0.439925;0.25;0.75;0.05
0.036006;0.439918;0.25;0.75;0.05
0.037029;0.439903;0.25;0.75;0.05
0.038022;0.439883;0.25;0.75;0.05
0.039014;0.439865;0.25;0.75;0.05
0.040005;0.43985;0.25;0.75;0.05
0.041026;0.439835;0.25;0.75;0.05
0.042016;0.439823;0.25;0.75;0.05
0.043007;0.439812;0.25;0.75;0.05
0.044028;0.439799;0.25;0.75;0.05
0.045018;0.439785;0.25;0.75;0.05
0.046007;0.439769;0.25;0.75;0.05
0.047025;0.439752;0.25;0.75;0.05
0.048009;0.439736;0.25;0.75;0.05
0.049027;0.439721;0.25;0.75;0.05
0.050017;0.43971;0.25;0.75;0.05
0.051006;0.439704;0.25;0.75;0.05
0.052028;0.439701;0.25;0.75;0.05
0.053017;0.439699;0.25;0.75;0.05
0.054003;0.439697;0.25;0.75;0.05
0.055022;0.439691;0.25;0.75;0.05
0.056012;0.439684;0.25;0.75;0.05
0.057001;0.439679;0.25;0.75;0.05
0.058020;0.439677;0.25;0.75;0.05
0.059008;0.439677;0.25;0.75;0.05
0.060026;0.439678;0.25;0.75;0.05
0.061012;0.439678;0.25;0.75;0.05
0.062030;0.439674;0.25;0.75;0.05
0.063018;0.439668;0.25;0.75;0.05
0.064005;0.439662;0.25;0.75;0.05
0.065020;0.439655;0.25;0.75;0.05
0.066005;0.439644;0.25;0.75;0.05
0.067022;0.439629;0.25;0.75;0.05
0.068009;0.439611;0.25;0.75;0.05
0.069027;0.43959;0.25;0.75;0.05
0.070013;0.43957;0.25;0.75;0.05
0.071025;0.439548;0.25;0.75;0.05
0.072013;0.439527;0.25;0.75;0.05
0.073008;0.439503;0.25;0.75;0.05
0.074019;0.439479;0.25;0.75;0.05
0.075027;0.439455;0.25;0.75;0.05
0.076028;0.439433;0.25;0.75;0.05
0.077009;0.439415;0.25;0.75;0.05
0.078022;0.439401;0.25;0.75;0.05
0.079006;0.439389;0.25;0.75;0.05
0.080021;0.439377;0.25;0.75;0.05
0.081005;0.439364;0.25;0.75;0.05
0.082018;0.439349;0.25;0.75;0.05
0.083000;0.439333;0.25;0.75;0.05
0.084012;0.439316;0.25;0.75;0.05
0.085025;0.4393;0.25;0.75;0.05
0.086007;0.439286;0.25;0.75;0.05
0.087022;0.439274;0.25;0.75;0.05
0.088007;0.439264;0.25;0.75;0.05
0.089023;0.439254;0.25;0.75;0.05
0.090008;0.439244;0.25;0.75;0.05
0.091024;0.439234;0.25;0.75;0.05
0.092011;0.439225;0.25;0.75;0.05
0.093027;0.439216;0.25;0.75;0.05
0.094011;0.439206;0.25;0.75;0.05
0.095022;0.439195;0.25;0.75;0.05
0.096002;0.439184;0.25;0.75;0.05
0.097017;0.439171;0.25;0.75;0.05
0.098002;0.439156;0.25;0.75;0.05
0.099017;0.439137;0.25;0.75;0.05
0.100000;0.439115;0.25;0.75;0.05
0.101015;0.439089;0.25;0.75;0.05
0.102030;0.439063;0.25;0.75;0.05
0.103012;0.439038;0.25;0.75;0.05
0.104025;0.439015;0.25;0.75;0.05
0.105008;0.438996;0.25;0.75;0.05
0.106019;0.438977;0.25;0.75;0.05
0.107026;0.438957;0.25;0.75;0.05
0.108002;0.438937;0.25;0.75;0.05
0.109007;0.438916;0.25;0.75;0.05
0.110016;0.438895;0.25;0.75;0.05
0.111029;0.438874;0.25;0.75;0.05
0.112010;0.438853;0.25;0.75;0.05
0.113020;0.438831;0.25;0.75;0.05
0.114016;0.438808;0.25;0.75;0.05
0.115024;0.438783;0.25;0.75;0.05
0.116020;0.438756;0.25;0.75;0.05
0.117027;0.438728;0.25;0.75;0.05
0.118004;0.438703;0.25;0.75;0.05
0.119016;0.438679;0.25;0.75;0.05
0.120027;0.43866;0.25;0.75;0.05
0.121011;0.438647;0.25;0.75;0.05
0.122025;0.438638;0.25;0.75;0.05
0.123008;0.438633;0.25;0.75;0.05
0.124020;0.438628;0.25;0.75;0.05
0.125001;0.43862;0.25;0.75;0.05
0.126013;0.438607;0.25;0.75;0.05
0.127026;0.438587;0.25;0.75;0.05
0.128002;0.438566;0.25;0.75;0.05
0.129011;0.438543;0.25;0.75;0.05
0.130021;0.438521;0.25;0.75;0.05
0.131025;0.438502;0.25;0.75;0.05
0.132004;0.438484;0.25;0.75;0.05
0.133015;0.438466;0.25;0.75;0.05
0.134014;0.438447;0.25;0.75;0.05
0.135023;0.438425;0.25;0.75;0.05
0.136030;0.438402;0.25;0.75;0.05
0.137012;0.438379;0.25;0.75;0.05
0.138024;0.438356;0.25;0.75;0.05
0.139004;0.438333;0.25;0.75;0.05
0.140008;0.438308;0.25;0.75;0.05
0.141012;0.43828;0.25;0.75;0.05
0.142019;0.438249;0.25;0.75;0.05
0.143028;0.438214;0.25;0.75;0.05
0.144008;0.438178;0.25;0.75;0.05
0.145016;0.438141;0.25;0.75;0.05
0.146019;0.438106;0.25;0.75;0.05
0.147024;0.438073;0.25;0.75;0.05
0.148028;0.438045;0.25;0.75;0.05
0.149026;0.438021;0.25;0.75;0.05
0.150029;0.438001;0.25;0.75;0.05
0.151008;0.437985;0.25;0.75;0.05
0.152018;0.43797;0.25;0.75;0.05
