time [s];velx [m/s];vely [m/s];velz [m/s];posx [m];posy [m];posz [m]
0.000000;0;0;0;1.5;0.5;0.005
0.001010;0.0571914;6.40707e-08;-0.00190808;1.5;0.5;0.005
0.002018;0.0662244;1.44814e-08;0.0319212;1.5;0.5;0.005
0.003026;0.071384;-5.71944e-07;0.0461327;1.5;0.5;0.005
0.004004;0.080251;3.59016e-07;0.039804;1.5;0.5;0.005
0.005012;0.0941511;-8.34707e-07;0.0299716;1.5;0.5;0.005
0.006021;0.106833;-9.137e-07;0.0299276;1.5;0.5;0.005
0.007000;0.117095;1.06283e-06;0.0393898;1.5;0.5;0.005
0.008009;0.125718;4.70619e-07;0.0509876;1.5;0.5;0.005
0.009016;0.137149;3.79095e-07;0.0564628;1.5;0.5;0.005
0.010024;0.151809;8.42533e-08;0.0543793;1.5;0.5;0.005
0.011002;0.166069;-8.80702e-07;0.051134;1.5;0.5;0.005
0.012009;0.177245;-4.08906e-07;0.052019;1.5;0.5;0.005
0.013016;0.186293;-1.54025e-07;0.0557141;1.5;0.5;0.005
0.014023;0.200126;1.25352e-06;0.0580296;1.5;0.5;0.005
0.015029;0.21419;1.90952e-06;0.0600177;1.5;0.5;0.005
0.016005;0.223529;5.36552e-07;0.0629437;1.5;0.5;0.005
0.017011;0.233707;-4.90461e-07;0.065494;1.5;0.5;0.005
0.018016;0.24646;-9.36624e-07;0.0676537;1.5;0.5;0.005
0.019021;0.259555;1.30217e-06;0.0706734;1.5;0.5;0.005
0.020027;0.273319;1.39656e-06;0.0744921;1.5;0.5;0.005
0.021002;0.286012;8.71645e-07;0.0816965;1.5;0.5;0.005
0.022007;0.298915;1.0716e-06;0.0887937;1.5;0.5;0.005
0.023012;0.311194;6.34273e-07;0.0936356;1.5;0.5;0.005
0.024016;0.326172;1.05308e-06;0.0928198;1.5;0.5;0.005
0.025021;0.340875;-5.88037e-08;0.0898637;1.5;0.5;0.005
0.026025;0.353444;3.45984e-07;0.0927409;1.5;0.5;0.005
0.027028;0.363625;5.89007e-07;0.099814;1.5;0.5;0.005
0.028000;0.375502;-9.80113e-07;0.113474;1.5;0.5;0.005
0.029001;0.385145;-1.5528e-07;0.137272;1.5;0.5;0.005
0.030002;0.394597;7.82291e-07;0.158545;1.5;0.5;0.005
0.031003;0.405933;1.61276e-06;0.156846;1.5;0.5;0.005
0.032004;0.423186;-8.23608e-07;0.134732;1.5;0.5;0.005
0.033004;0.440327;1.97339e-07;0.141705;1.5;0.5;0.005
0.034003;0.469338;5.79771e-07;0.146392;1.5;0.5;0.005
0.035001;0.491774;-6.05999e-08;0.130669;1.5;0.5;0.005
0.036029;0.494969;-2.05278e-07;0.109614;1.5;0.5;0.005
0.037028;0.509867;-6.75211e-07;0.109663;1.5;0.5;0.005
