case_id,lot,source_export,source_commit,official_result,is_partial_diagnostic,gp_compatible,status,dp,dam_height,friction_coefficient,boulder_mass,boulder_rot_z,slope_inv,classification_mode,reference_time_s,criterion_class,disp_pct_deq,g_pct,g_train_clip_pct,frontier_zone,max_displacement_m,max_rotation_deg,max_velocity_ms,max_sph_force_N,max_contact_force_N,max_flow_velocity_ms,max_water_height_m,sim_time_reached_any,quality_flags,moved,rotated,tiempo_min,n_particles,mem_gpu_mb,output_path,notas,disp_margin_pct,sim_time_reached_s,n_timesteps,hardware,failed,max_displacement_pct_deq,sim_time_reached,flow_gauge_id,flow_gauge_distance,water_gauge_id,water_gauge_distance
batch3_base_mu0680,batch3,exports/batch3_productivo_20260509/batch3_summary.csv,3c443e9,True,False,True,OK,0.003,0.2,0.68,1.0,0.0,20.0,displacement_only,0.500009,FALLO,8.08744731050584,-3.0874473105058406,-3.0874473105058406,lejos,0.0081214610754467,5.864659461299195,0.0999966822049611,8.37318304000032,10755.302259345484,0.7599104895518485,0.068941,9.999014,rotation_diagnostic_only,True,True,252.6423177,17525854.0,3338.452796936035,C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch3_base_mu0680,,3.0874473105058406,9.999014,9500.0,"Gpu_0=""NVIDIA GeForce RTX 5090""",,,,,,,
batch3_base_mu0682,batch3,exports/batch3_productivo_20260509/batch3_summary.csv,3c443e9,True,False,True,OK,0.003,0.2,0.682,1.0,0.0,20.0,displacement_only,0.500009,ESTABLE,4.250500791351798,0.749499208648202,0.749499208648202,cercana_abs_g_le_2,0.0042683773263383,5.332698290134056,0.0999987296219307,10.486210119261582,10750.352411514818,0.7516506483811556,0.0678944,9.99902,rotation_diagnostic_only,False,True,253.16829426666663,17525854.0,3338.452796936035,C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch3_base_mu0682,,-0.749499208648202,9.99902,9500.0,"Gpu_0=""NVIDIA GeForce RTX 5090""",,,,,,,
batch3_lowH_mu0600,batch3,exports/batch3_productivo_20260509/batch3_summary.csv,3c443e9,True,False,True,OK,0.003,0.175,0.6,1.0,0.0,20.0,displacement_only,0.500003,ESTABLE,1.232265179922457,3.7677348200775427,3.7677348200775427,lejos,0.0012374477766758,4.823487100363921,0.0999955836274782,8.773712172337602,28587.38480737096,0.6842668316708329,0.066937,9.999008,,False,False,213.68997396666663,16031854.0,3070.0230407714844,C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch3_lowH_mu0600,,-3.767734820077543,9.999008,9500.0,"Gpu_0=""NVIDIA GeForce RTX 5090""",,,,,,,
batch3_lowH_mu0640,batch3,exports/batch3_productivo_20260509/batch3_summary.csv,3c443e9,True,False,True,OK,0.003,0.175,0.64,1.0,0.0,20.0,displacement_only,0.500003,ESTABLE,1.2323118534027673,3.7676881465972327,3.7676881465972327,lejos,0.001237494646453,4.939401915083683,0.0999956335346699,8.779234702552381,28525.445575361817,0.7453660133625359,0.0663773,9.999009,,False,False,214.1163737,16031854.0,3070.0230407714844,C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch3_lowH_mu0640,,-3.7676881465972327,9.999009,9500.0,"Gpu_0=""NVIDIA GeForce RTX 5090""",,,,,,,
batch3_lowH_mu0660,batch3,exports/batch3_productivo_20260509/batch3_summary.csv,3c443e9,True,False,True,OK,0.003,0.175,0.66,1.0,0.0,20.0,displacement_only,0.500003,ESTABLE,1.232463932307225,3.7675360676927747,3.7675360676927747,lejos,0.001237647364963,4.5307031224669325,0.0999945848583812,8.803778414154005,28412.417943449884,0.7265542056488146,0.0660636,9.999023,,False,False,210.55159505,16031854.0,3070.111618041992,C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch3_lowH_mu0660,,-3.767536067692775,9.999023,9500.0,"Gpu_0=""NVIDIA GeForce RTX 5090""",,,,,,,
batch3_highH_mu0760,batch3,exports/batch3_productivo_20260509/batch3_summary.csv,3c443e9,True,False,True,OK,0.003,0.225,0.76,1.0,0.0,20.0,displacement_only,0.500001,FALLO,44.77633270195227,-39.77633270195227,-20.0,lejos,0.0449646506713886,11.153884204480844,0.1002687840805901,9.3826260221252,70106.99358662817,0.9297746690414888,0.0730931,9.999009,rotation_diagnostic_only,True,True,294.3225260333333,18853854.0,3577.782516479492,C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch3_highH_mu0760,,39.77633270195227,9.999009,9500.0,"Gpu_0=""NVIDIA GeForce RTX 5090""",,,,,,,
batch3_highH_mu0800,batch3,exports/batch3_productivo_20260509/batch3_summary.csv,3c443e9,True,False,True,OK,0.003,0.225,0.8,1.0,0.0,20.0,displacement_only,0.500001,FALLO,25.726668897369983,-20.726668897369983,-20.0,lejos,0.0258348687823262,8.563652596578885,0.1002960776251992,9.999198628777007,70091.93643270886,0.8809587924147889,0.0722208,9.999002,rotation_diagnostic_only,True,True,292.5385416666667,18853854.0,3577.6900024414062,C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch3_highH_mu0800,,20.726668897369983,9.999002,9500.0,"Gpu_0=""NVIDIA GeForce RTX 5090""",,,,,,,
batch3_midH_mu0700,batch3,exports/batch3_productivo_20260509/batch3_summary.csv,3c443e9,True,False,True,OK,0.003,0.21,0.7,1.0,0.0,20.0,displacement_only,0.500012,FALLO,23.9530916688294,-18.9530916688294,-18.9530916688294,lejos,0.0240538323349938,8.270054106671035,0.1000665735248289,8.833249505838495,7833.597909995608,0.8700265850997773,0.0698018,9.999009,rotation_diagnostic_only,True,True,267.00084635,18023854.0,3426.357315063477,C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch3_midH_mu0700,,18.9530916688294,9.999009,9500.0,"Gpu_0=""NVIDIA GeForce RTX 5090""",,,,,,,
batch3_midH_mu0740,batch3,exports/batch3_productivo_20260509/batch3_summary.csv,3c443e9,True,False,True,OK,0.003,0.21,0.74,1.0,0.0,20.0,displacement_only,0.500012,FALLO,8.556527469631071,-3.556527469631071,-3.556527469631071,lejos,0.0085925140674892,6.269481206197968,0.1002071973912053,9.00030504025108,7806.279975346846,0.8680923218446066,0.0695065,9.999006,rotation_diagnostic_only,True,True,268.8819010333333,18023854.0,3426.26676940918,C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch3_midH_mu0740,,3.556527469631071,9.999006,9500.0,"Gpu_0=""NVIDIA GeForce RTX 5090""",,,,,,,
batch4_mass_m085_H0175_mu0560,batch4,origin/master:exports/batch4_mass_probe_20260513/batch4_summary.csv,95d9468,True,False,True,OK_SQLITE,0.003,0.175,0.56,0.85,0.0,20.0,displacement_only,0.500003,FALLO,5.460130267769664,-0.4601302677696637,-0.4601302677696637,gris_estrecha_abs_g_le_0p5,0.005483094199446,5.299897422701339,0.0999976809431098,8.779646335853684,24286.046406597863,0.7555150506692835,0.0664387,9.99901,complete_postprocess_sqlite,1,1,,,,,,,,9500.0,,1,5.460130267769664,9.99901,V05,0.0682721222315522,hmax03,1.229420174095903
