dam_height,friction_coefficient,boulder_mass,pred_margin_train_pct_deq,pred_std_pct_deq,u_value,min_scaled_distance_to_existing,pred_class
0.1825,0.79,1.1,-0.00020344260167748374,10.099084948546619,2.0144656938126008e-05,0.4355126637387441,FALLO
0.2075,0.86,1.2,0.0006012594163102847,9.352240365864702,6.429041521481771e-05,0.3234659028575019,ESTABLE
0.205,0.735,1.0,-0.0002617650481431255,3.2787586141284213,7.98366329912425e-05,0.10107553104376277,FALLO
0.1975,0.77,1.25,0.0012828883143258807,8.956749117876084,0.00014323146684608142,0.2838501968575245,ESTABLE
0.1875,0.82,1.05,-0.0017557856942782557,10.001674660430158,0.00017554917090280221,0.34714916570920207,FALLO
0.1825,0.59,1.0,0.0014002752831641097,7.439737126814381,0.00018821569355146085,0.15285631129630914,ESTABLE
0.21,0.665,1.225,-0.0014615951485192902,7.098699168671044,0.0002058961950338165,0.21159230114329322,FALLO
0.1875,0.645,1.0,-0.0017509485056828034,8.502539608045307,0.0002059324138902932,0.25043215244009415,FALLO
0.18,0.795,1.025,0.0020989041192298608,9.847050587210596,0.00021315053686793444,0.358202965072668,ESTABLE
0.2075,0.82,1.25,0.002144245375013565,8.760558078253867,0.00024476127614928223,0.31006752250455166,ESTABLE
0.18,0.775,0.925,-0.002506647873536494,9.56509138114974,0.00026206209367494077,0.3510372975284184,FALLO
0.19,0.825,1.075,-0.002860218677582349,9.886414648314133,0.00028930798265373127,0.3518741530010028,FALLO
0.1775,0.775,1.125,-0.0028585925686588354,9.868479708795544,0.00028966899188238176,0.40504562624790885,FALLO
0.195,0.885,1.05,0.00293028693274211,9.99236768098302,0.00029325251294731616,0.410030486671418,ESTABLE
0.18,0.79,1.075,0.0029409225157253083,9.932539660969521,0.00029608968260972913,0.38707561312593236,ESTABLE
0.205,0.895,1.15,0.0030173569305014247,10.035238868275554,0.00030067614434569245,0.4094578236431207,ESTABLE
0.1825,0.745,0.9,0.002815108246208897,9.267447761538095,0.0003037630552277725,0.3486379825930822,ESTABLE
0.18,0.755,0.9,-0.002901072076838762,9.295020976270942,0.000312110331353155,0.3480792575695554,FALLO
0.19,0.89,0.85,0.003060131812257172,8.985251973696931,0.0003405727319851396,0.21859887265955352,ESTABLE
0.2,0.895,1.1,0.0035026918529603712,10.096490123080494,0.00034692173322221144,0.4249363884819179,ESTABLE
0.1825,0.765,1.175,0.0049675575364758195,10.111834293216576,0.0004912617624487542,0.40195846783167977,ESTABLE
0.175,0.77,1.125,-0.0049758865636500005,9.728510286374625,0.0005114746674646089,0.3874274404663378,FALLO
0.1775,0.77,0.925,0.00547731377400229,9.297760100829567,0.0005891003547739421,0.32821556049683126,ESTABLE
0.1875,0.735,1.25,0.005925851541609184,9.812931895086999,0.0006038818576306896,0.3060095889218355,ESTABLE
0.19,0.89,0.925,-0.005782827754147402,9.451642569580928,0.0006118330979588865,0.2879960366533326,FALLO
0.1875,0.85,0.95,0.006984325811530745,9.863495707956215,0.0007080984286226488,0.35477464946514176,ESTABLE
0.175,0.715,1.25,-0.006739866473572942,9.44906140035154,0.0007132842287723392,0.3334054131986656,FALLO
0.1875,0.835,1.0,0.007162211574701427,9.968139619110572,0.0007185103588406371,0.3535533905932738,ESTABLE
0.1775,0.785,1.075,0.007220057384441869,9.737378719881965,0.0007414785428545649,0.3647303419217257,ESTABLE
0.18,0.795,1.0,-0.007646056246676025,9.812993551430782,0.0007791767320136895,0.3527082564767247,FALLO
