dp;case_name;status;max_displacement_m;max_rotation_deg;max_velocity_ms;max_sph_force_N;max_contact_force_N;max_flow_velocity_ms;max_water_height_m;criterion_mode;criterion_class;criterion_reference_time_s;moved;rotated;flow_gauge_id;water_gauge_id;sim_time_s;n_timesteps;n_particles;mem_gpu_mb;mem_gpu_cells_mb;tiempo_min
0.005;conv_edge_f0680_full_dp0005;OK;0.005265203984652707;3.6678839113608652;0.09999977830475426;10.101822005332751;10523.204966179504;0.8090463798547027;0.0712259;displacement_only;FALLO;0.50001;True;False;V05;hmax03;9.999032;9500;4691009;937.5024528503418;110.27845001220703;48.149076577027635
0.004;conv_edge_f0680_full_dp0004;OK;0.006818847703241174;4.958903960861383;0.09999977830475426;16.481610476664592;2806.8902827499332;0.8222827518225467;0.0683677;displacement_only;FALLO;0.500036;True;False;V05;hmax03;9.999022;9500;8152043;1557.2743377685547;119.73717498779297;89.14602841933568
0.003;conv_edge_f0680_full_dp0003;OK;0.008121461075446706;5.864659461299195;0.09999668220496118;8.37318304000032;10755.302259345484;0.7599104895518485;0.068941;displacement_only;FALLO;0.500009;True;True;V05;hmax03;9.999014;9500;17525854;3338.452796936035;247.95160675048828;249.3476829012235
0.002;conv_edge_f0680_full_dp0002;OK;0.003329457913835468;7.908436621770911;0.06980227562909393;7.999537104206781;12933.214341721086;0.7759892181076036;0.0651282;displacement_only;ESTABLE;0.500003;False;True;V05;hmax03;9.999001;9500;51862438;9907.04787826538;761.670539855957;1144.1646167119345
