dp;case_name;status;max_displacement_m;max_rotation_deg;max_velocity_ms;max_sph_force_N;max_contact_force_N;max_flow_velocity_ms;max_water_height_m;sim_time_s;n_timesteps;n_particles;mem_gpu_mb;mem_gpu_cells_mb;tiempo_min;error
0.01;conv2_dp001;OK;3.7142335556135953;68.02115872483215;1.3304249284533118;82.3713951725118;2851.222938203184;2.7870604496162033;0.138241;9.999032;9500.0;1020539.0;204.05865478515625;24.077491760253906;17.013764770825706;
0.008;conv2_dp0008;OK;3.4364964975131285;104.86662681035195;1.2528884393009618;40.615823672376756;8399.345086744323;2.8734871284559707;0.140361;9.999031;9500.0;1750065.0;355.58814239501953;46.96485137939453;23.8125225742658;
0.006;conv2_dp0006;OK;3.219807569596979;68.61966003991435;1.2119232110930132;29.680020521126668;190753.97137698077;2.6398272225769372;0.147049;9.99902;9500.0;3651677.0;752.7784271240234;108.83118438720703;44.39958814779917;
0.005;conv2_dp0005;OK;2.7730259220861964;82.84848965495;1.1481650122255946;18.37796563244171;15521.477853042972;2.5716057486315536;0.148432;9.999021;9500.0;5884989.0;1152.9074440002441;115.1451187133789;72.78753323554993;
0.004;conv2_dp0004;OK;2.0162007260709442;97.00629509031118;0.8818615074335652;14.547318676443435;3951.31910904308;2.596956396347934;0.146278;9.999006;9500.0;10477156.0;1975.7727012634277;128.24036407470703;145.54426087538403;
0.003;conv2_dp0003;OK;1.9656592524265242;92.00981058608512;0.8782302783040449;17.635437124157257;3651.1612561196193;2.585065630439511;0.14715;9.999022;9500.0;23003835.0;4325.141872406006;268.6904983520508;421.23578432003654;
0.002;conv2_dp0002;OK;1.752803666878296;171.5348279352917;0.8060066342766665;9.562240601136118;4127.007004321171;2.5808446440150985;0.146775;9.999006;9500.0;70574479.0;13272.311874389648;827.3811264038086;2034.7656449755034;
0.0015;conv2_dp00015;FALLO_SIM;;;;;;;;;;;;;0.2834395925203959;GenCase fallo para caso 'conv2_dp00015' (returncode=1): 
