time [s];zmax [m];posx [m];posy [m];posz [m]
0.000000;0.16;0.25;0.75;0.05
0.001051;0.159999;0.25;0.75;0.05
0.002048;0.159997;0.25;0.75;0.05
0.003045;0.159996;0.25;0.75;0.05
0.004040;0.159994;0.25;0.75;0.05
0.005036;0.159992;0.25;0.75;0.05
0.006031;0.159988;0.25;0.75;0.05
0.007026;0.159972;0.25;0.75;0.05
0.008021;0.159948;0.25;0.75;0.05
0.009015;0.159945;0.25;0.75;0.05
0.010010;0.159945;0.25;0.75;0.05
0.011003;0.159944;0.25;0.75;0.05
0.012049;0.159939;0.25;0.75;0.05
0.013042;0.159935;0.25;0.75;0.05
0.014035;0.159931;0.25;0.75;0.05
0.015028;0.159931;0.25;0.75;0.05
0.016020;0.159929;0.25;0.75;0.05
0.017012;0.159929;0.25;0.75;0.05
0.018002;0.159933;0.25;0.75;0.05
0.019044;0.159938;0.25;0.75;0.05
0.020034;0.159947;0.25;0.75;0.05
0.021022;0.159964;0.25;0.75;0.05
0.022011;0.159983;0.25;0.75;0.05
0.023051;0.15999;0.25;0.75;0.05
0.024040;0.159988;0.25;0.75;0.05
0.025029;0.159989;0.25;0.75;0.05
0.026018;0.159996;0.25;0.75;0.05
0.027006;0.159999;0.25;0.75;0.05
0.028047;0.16;0.25;0.75;0.05
0.029035;0.159998;0.25;0.75;0.05
0.030024;0.159995;0.25;0.75;0.05
0.031011;0.159992;0.25;0.75;0.05
0.032048;0.159988;0.25;0.75;0.05
0.033031;0.159982;0.25;0.75;0.05
0.034014;0.159972;0.25;0.75;0.05
0.035049;0.159956;0.25;0.75;0.05
0.036032;0.159944;0.25;0.75;0.05
0.037015;0.159939;0.25;0.75;0.05
0.038049;0.15994;0.25;0.75;0.05
0.039032;0.159937;0.25;0.75;0.05
0.040016;0.159931;0.25;0.75;0.05
0.041000;0.159927;0.25;0.75;0.05
0.042033;0.159928;0.25;0.75;0.05
0.043014;0.159929;0.25;0.75;0.05
0.044047;0.15993;0.25;0.75;0.05
0.045028;0.159932;0.25;0.75;0.05
0.046009;0.159935;0.25;0.75;0.05
0.047037;0.159942;0.25;0.75;0.05
0.048012;0.159951;0.25;0.75;0.05
0.049040;0.159964;0.25;0.75;0.05
0.050019;0.159973;0.25;0.75;0.05
0.051048;0.159978;0.25;0.75;0.05
0.052025;0.15998;0.25;0.75;0.05
0.053037;0.159985;0.25;0.75;0.05
0.054044;0.159989;0.25;0.75;0.05
0.055009;0.15999;0.25;0.75;0.05
0.056021;0.159989;0.25;0.75;0.05
0.057035;0.159989;0.25;0.75;0.05
0.058045;0.15999;0.25;0.75;0.05
0.059005;0.15999;0.25;0.75;0.05
0.060021;0.159989;0.25;0.75;0.05
0.061041;0.159984;0.25;0.75;0.05
0.062013;0.159974;0.25;0.75;0.05
0.063021;0.159962;0.25;0.75;0.05
0.064037;0.159951;0.25;0.75;0.05
0.065011;0.159942;0.25;0.75;0.05
0.066035;0.159933;0.25;0.75;0.05
0.067002;0.159924;0.25;0.75;0.05
0.068019;0.159916;0.25;0.75;0.05
0.069038;0.15991;0.25;0.75;0.05
0.070008;0.159908;0.25;0.75;0.05
0.071032;0.159912;0.25;0.75;0.05
0.072049;0.159916;0.25;0.75;0.05
0.073002;0.159922;0.25;0.75;0.05
0.074000;0.15993;0.25;0.75;0.05
0.075022;0.159941;0.25;0.75;0.05
0.076044;0.159954;0.25;0.75;0.05
0.077015;0.159966;0.25;0.75;0.05
0.078037;0.159976;0.25;0.75;0.05
0.079009;0.159983;0.25;0.75;0.05
0.080034;0.159988;0.25;0.75;0.05
0.081006;0.159993;0.25;0.75;0.05
0.082030;0.159995;0.25;0.75;0.05
0.083026;0.159993;0.25;0.75;0.05
0.084032;0.159988;0.25;0.75;0.05
0.085050;0.159982;0.25;0.75;0.05
0.086017;0.159974;0.25;0.75;0.05
0.087034;0.159965;0.25;0.75;0.05
0.088000;0.159956;0.25;0.75;0.05
0.089017;0.159945;0.25;0.75;0.05
0.090032;0.159935;0.25;0.75;0.05
0.091050;0.159927;0.25;0.75;0.05
0.092018;0.159921;0.25;0.75;0.05
0.093038;0.159917;0.25;0.75;0.05
0.094008;0.159915;0.25;0.75;0.05
0.095026;0.159914;0.25;0.75;0.05
0.096035;0.159914;0.25;0.75;0.05
0.097047;0.159916;0.25;0.75;0.05
0.098008;0.159919;0.25;0.75;0.05
0.099025;0.159921;0.25;0.75;0.05
0.100047;0.159924;0.25;0.75;0.05
0.101018;0.159926;0.25;0.75;0.05
0.102034;0.159928;0.25;0.75;0.05
0.103036;0.159932;0.25;0.75;0.05
0.104047;0.159936;0.25;0.75;0.05
0.105008;0.15994;0.25;0.75;0.05
0.106018;0.159945;0.25;0.75;0.05
0.107023;0.159949;0.25;0.75;0.05
0.108019;0.159952;0.25;0.75;0.05
0.109042;0.159956;0.25;0.75;0.05
0.110030;0.159958;0.25;0.75;0.05
0.111049;0.159959;0.25;0.75;0.05
0.112023;0.159958;0.25;0.75;0.05
0.113032;0.159956;0.25;0.75;0.05
0.114032;0.159953;0.25;0.75;0.05
0.115022;0.159948;0.25;0.75;0.05
0.116016;0.159942;0.25;0.75;0.05
0.117023;0.159934;0.25;0.75;0.05
0.118039;0.159925;0.25;0.75;0.05
0.119010;0.159915;0.25;0.75;0.05
0.120035;0.159905;0.25;0.75;0.05
0.121006;0.159896;0.25;0.75;0.05
0.122011;0.159889;0.25;0.75;0.05
0.123010;0.159882;0.25;0.75;0.05
0.124008;0.159877;0.25;0.75;0.05
0.125014;0.159874;0.25;0.75;0.05
0.126030;0.159873;0.25;0.75;0.05
0.127003;0.159874;0.25;0.75;0.05
0.128025;0.159876;0.25;0.75;0.05
0.129040;0.159879;0.25;0.75;0.05
0.130005;0.159885;0.25;0.75;0.05
0.131007;0.159892;0.25;0.75;0.05
0.132004;0.159899;0.25;0.75;0.05
0.133005;0.159906;0.25;0.75;0.05
0.134001;0.159911;0.25;0.75;0.05
0.135018;0.159916;0.25;0.75;0.05
0.136035;0.159919;0.25;0.75;0.05
0.137006;0.159921;0.25;0.75;0.05
0.138022;0.159921;0.25;0.75;0.05
0.139041;0.159918;0.25;0.75;0.05
0.140012;0.159915;0.25;0.75;0.05
0.141033;0.159909;0.25;0.75;0.05
0.142046;0.159903;0.25;0.75;0.05
0.143013;0.159895;0.25;0.75;0.05
0.144035;0.159886;0.25;0.75;0.05
0.145003;0.159875;0.25;0.75;0.05
0.146028;0.159864;0.25;0.75;0.05
0.147003;0.159852;0.25;0.75;0.05
0.148030;0.159841;0.25;0.75;0.05
0.149006;0.159833;0.25;0.75;0.05
0.150033;0.159826;0.25;0.75;0.05
0.151007;0.159821;0.25;0.75;0.05
0.152028;0.159818;0.25;0.75;0.05
0.153045;0.159817;0.25;0.75;0.05
0.154009;0.159817;0.25;0.75;0.05
0.155029;0.159819;0.25;0.75;0.05
0.156004;0.159822;0.25;0.75;0.05
0.157030;0.159827;0.25;0.75;0.05
0.158005;0.159832;0.25;0.75;0.05
0.159032;0.159839;0.25;0.75;0.05
0.160008;0.159844;0.25;0.75;0.05
0.161034;0.15985;0.25;0.75;0.05
0.162008;0.159854;0.25;0.75;0.05
0.163035;0.159857;0.25;0.75;0.05
0.164009;0.159858;0.25;0.75;0.05
0.165032;0.159858;0.25;0.75;0.05
0.166004;0.159856;0.25;0.75;0.05
0.167019;0.159853;0.25;0.75;0.05
0.168036;0.159847;0.25;0.75;0.05
0.169003;0.159841;0.25;0.75;0.05
0.170024;0.159831;0.25;0.75;0.05
0.171049;0.159822;0.25;0.75;0.05
0.172022;0.159812;0.25;0.75;0.05
0.173046;0.159802;0.25;0.75;0.05
0.174019;0.159792;0.25;0.75;0.05
0.175042;0.159782;0.25;0.75;0.05
0.176015;0.159773;0.25;0.75;0.05
0.177028;0.159765;0.25;0.75;0.05
0.178039;0.159759;0.25;0.75;0.05
0.179000;0.159755;0.25;0.75;0.05
0.180014;0.159754;0.25;0.75;0.05
0.181029;0.159755;0.25;0.75;0.05
0.182045;0.159758;0.25;0.75;0.05
0.183013;0.159761;0.25;0.75;0.05
0.184036;0.159768;0.25;0.75;0.05
0.185046;0.159774;0.25;0.75;0.05
0.186042;0.159782;0.25;0.75;0.05
0.187005;0.159789;0.25;0.75;0.05
0.188026;0.159797;0.25;0.75;0.05
0.189041;0.159804;0.25;0.75;0.05
0.190005;0.159809;0.25;0.75;0.05
0.191023;0.159813;0.25;0.75;0.05
0.192045;0.159815;0.25;0.75;0.05
0.193015;0.159815;0.25;0.75;0.05
0.194039;0.159813;0.25;0.75;0.05
0.195012;0.15981;0.25;0.75;0.05
0.196037;0.159805;0.25;0.75;0.05
0.197009;0.159799;0.25;0.75;0.05
0.198033;0.159792;0.25;0.75;0.05
0.199003;0.159784;0.25;0.75;0.05
0.200018;0.159777;0.25;0.75;0.05
0.201035;0.159769;0.25;0.75;0.05
0.202001;0.159762;0.25;0.75;0.05
0.203017;0.159755;0.25;0.75;0.05
0.204036;0.159749;0.25;0.75;0.05
0.205005;0.159744;0.25;0.75;0.05
0.206028;0.159739;0.25;0.75;0.05
0.207051;0.159737;0.25;0.75;0.05
0.208019;0.159736;0.25;0.75;0.05
0.209039;0.159738;0.25;0.75;0.05
0.210009;0.159741;0.25;0.75;0.05
0.211033;0.159747;0.25;0.75;0.05
0.212005;0.159753;0.25;0.75;0.05
0.213029;0.15976;0.25;0.75;0.05
0.214002;0.159767;0.25;0.75;0.05
0.215025;0.159775;0.25;0.75;0.05
0.216049;0.159782;0.25;0.75;0.05
0.217022;0.159787;0.25;0.75;0.05
0.218046;0.159792;0.25;0.75;0.05
0.219018;0.159796;0.25;0.75;0.05
0.220041;0.159799;0.25;0.75;0.05
0.221013;0.1598;0.25;0.75;0.05
0.222035;0.159801;0.25;0.75;0.05
0.223002;0.159799;0.25;0.75;0.05
0.224021;0.159795;0.25;0.75;0.05
0.225043;0.159789;0.25;0.75;0.05
0.226016;0.159782;0.25;0.75;0.05
0.227039;0.159772;0.25;0.75;0.05
0.228011;0.159762;0.25;0.75;0.05
0.229034;0.159751;0.25;0.75;0.05
0.230006;0.159742;0.25;0.75;0.05
0.231029;0.159733;0.25;0.75;0.05
0.232001;0.159726;0.25;0.75;0.05
0.233024;0.159721;0.25;0.75;0.05
0.234047;0.159718;0.25;0.75;0.05
0.235018;0.159717;0.25;0.75;0.05
