time [s];zmax [m];posx [m];posy [m];posz [m]
0.000000;-3.40282e+38;8.25;0.496;0.3
0.001051;-3.40282e+38;8.25;0.496;0.3
0.002048;-3.40282e+38;8.25;0.496;0.3
0.003045;-3.40282e+38;8.25;0.496;0.3
0.004040;-3.40282e+38;8.25;0.496;0.3
0.005036;-3.40282e+38;8.25;0.496;0.3
0.006031;-3.40282e+38;8.25;0.496;0.3
0.007026;-3.40282e+38;8.25;0.496;0.3
0.008021;-3.40282e+38;8.25;0.496;0.3
0.009015;-3.40282e+38;8.25;0.496;0.3
0.010010;-3.40282e+38;8.25;0.496;0.3
0.011003;-3.40282e+38;8.25;0.496;0.3
0.012049;-3.40282e+38;8.25;0.496;0.3
0.013042;-3.40282e+38;8.25;0.496;0.3
0.014035;-3.40282e+38;8.25;0.496;0.3
0.015028;-3.40282e+38;8.25;0.496;0.3
0.016020;-3.40282e+38;8.25;0.496;0.3
0.017012;-3.40282e+38;8.25;0.496;0.3
0.018002;-3.40282e+38;8.25;0.496;0.3
0.019044;-3.40282e+38;8.25;0.496;0.3
0.020034;-3.40282e+38;8.25;0.496;0.3
0.021022;-3.40282e+38;8.25;0.496;0.3
0.022011;-3.40282e+38;8.25;0.496;0.3
0.023051;-3.40282e+38;8.25;0.496;0.3
0.024040;-3.40282e+38;8.25;0.496;0.3
0.025029;-3.40282e+38;8.25;0.496;0.3
0.026018;-3.40282e+38;8.25;0.496;0.3
0.027006;-3.40282e+38;8.25;0.496;0.3
0.028047;-3.40282e+38;8.25;0.496;0.3
0.029035;-3.40282e+38;8.25;0.496;0.3
0.030024;-3.40282e+38;8.25;0.496;0.3
0.031011;-3.40282e+38;8.25;0.496;0.3
0.032048;-3.40282e+38;8.25;0.496;0.3
0.033031;-3.40282e+38;8.25;0.496;0.3
0.034014;-3.40282e+38;8.25;0.496;0.3
0.035049;-3.40282e+38;8.25;0.496;0.3
0.036032;-3.40282e+38;8.25;0.496;0.3
0.037015;-3.40282e+38;8.25;0.496;0.3
0.038049;-3.40282e+38;8.25;0.496;0.3
0.039032;-3.40282e+38;8.25;0.496;0.3
0.040016;-3.40282e+38;8.25;0.496;0.3
0.041000;-3.40282e+38;8.25;0.496;0.3
0.042033;-3.40282e+38;8.25;0.496;0.3
0.043014;-3.40282e+38;8.25;0.496;0.3
0.044047;-3.40282e+38;8.25;0.496;0.3
0.045028;-3.40282e+38;8.25;0.496;0.3
0.046009;-3.40282e+38;8.25;0.496;0.3
0.047037;-3.40282e+38;8.25;0.496;0.3
0.048012;-3.40282e+38;8.25;0.496;0.3
0.049040;-3.40282e+38;8.25;0.496;0.3
0.050019;-3.40282e+38;8.25;0.496;0.3
0.051048;-3.40282e+38;8.25;0.496;0.3
0.052025;-3.40282e+38;8.25;0.496;0.3
0.053037;-3.40282e+38;8.25;0.496;0.3
0.054044;-3.40282e+38;8.25;0.496;0.3
0.055009;-3.40282e+38;8.25;0.496;0.3
0.056021;-3.40282e+38;8.25;0.496;0.3
0.057035;-3.40282e+38;8.25;0.496;0.3
