time [s];velx [m/s];vely [m/s];velz [m/s];posx [m];posy [m];posz [m]
0.000000;0;0;0;1.5;0.5;0.003
0.001006;-2.87106e-07;-1.24517e-07;0.00247066;1.5;0.5;0.003
0.002011;-3.86287e-08;-7.10558e-07;-0.00293738;1.5;0.5;0.003
0.003016;1.77106e-07;1.05568e-07;0.000798036;1.5;0.5;0.003
0.004002;1.43718e-07;-1.41452e-08;-0.000222852;1.5;0.5;0.003
0.005008;1.0983e-06;-5.61043e-07;-5.3512e-05;1.5;0.5;0.003
0.006013;-1.36462e-06;-4.15227e-08;-2.40351e-05;1.5;0.5;0.003
0.007018;2.22404e-06;-2.12625e-07;-4.10433e-05;1.5;0.5;0.003
0.008004;2.44639e-06;-2.73495e-07;-3.59375e-05;1.5;0.5;0.003
0.009008;2.69378e-07;1.4462e-06;-3.76825e-05;1.5;0.5;0.003
0.010013;-6.45315e-07;-4.46097e-07;-5.65873e-05;1.5;0.5;0.003
0.011017;1.22794e-07;-8.85099e-06;-0.000100009;1.5;0.5;0.003
0.012001;-7.18001e-07;-0.000522616;0.000419996;1.5;0.5;0.003
0.013004;1.91631e-06;-0.00949273;0.00351268;1.5;0.5;0.003
0.014008;-4.53249e-07;-0.0141146;-0.00577907;1.5;0.5;0.003
0.015011;-8.06831e-08;0.0105594;0.000624815;1.5;0.5;0.003
0.016013;8.39961e-07;-0.00105101;0.000753268;1.5;0.5;0.003
0.017016;-2.46648e-07;0.00199735;-0.000650087;1.5;0.5;0.003
0.018019;-4.77503e-07;0.000572572;0.000199362;1.5;0.5;0.003
0.019001;6.43508e-07;0.000728934;-0.000215346;1.5;0.5;0.003
0.020003;-3.44935e-07;0.000318467;-0.000529147;1.5;0.5;0.003
0.021003;1.53263e-08;7.26538e-05;-0.00199735;1.5;0.5;0.003
0.022002;-1.56001e-06;-0.000245011;0.00311725;1.5;0.5;0.003
0.023001;4.74878e-07;-0.00050338;-0.00109442;1.5;0.5;0.003
0.024000;2.86711e-07;-0.000965656;0.000608088;1.5;0.5;0.003
0.025018;-9.63588e-07;-0.00200388;5.61865e-05;1.5;0.5;0.003
0.026015;6.58167e-07;-0.00188077;-0.0005285;1.5;0.5;0.003
0.027012;-1.59988e-06;-0.00176848;0.000490919;1.5;0.5;0.003
0.028010;-6.07175e-07;-0.00230092;-1.97881e-05;1.5;0.5;0.003
0.029006;-4.46095e-07;-0.00307245;5.28718e-05;1.5;0.5;0.003
0.030002;-1.68974e-07;-0.00348583;7.07796e-05;1.5;0.5;0.003
0.031017;3.68422e-07;-0.00418404;-2.76533e-05;1.5;0.5;0.003
0.032013;4.42333e-07;-0.0049508;4.39291e-05;1.5;0.5;0.003
0.033009;-1.85553e-06;-0.00573402;-4.20961e-05;1.5;0.5;0.003
0.034004;1.9159e-06;-0.00657638;-9.9677e-05;1.5;0.5;0.003
0.035017;1.72286e-06;-0.00753403;-9.68942e-05;1.5;0.5;0.003
0.036012;8.91927e-06;-0.00859983;-6.99861e-05;1.5;0.5;0.003
0.037007;0.000250908;-0.00938162;0.000389503;1.5;0.5;0.003
0.038002;0.00341601;-0.00771054;0.00278541;1.5;0.5;0.003
0.039016;0.0187402;-0.00383969;0.0034164;1.5;0.5;0.003
0.040010;0.0416761;-0.0102795;-0.0060397;1.5;0.5;0.003
0.041004;0.0300069;-0.0226742;-0.00720101;1.5;0.5;0.003
0.042017;-0.0100646;-0.0183805;0.00497934;1.5;0.5;0.003
0.043010;-0.00555164;-0.0180506;-0.000533483;1.5;0.5;0.003
0.044002;0.00862267;-0.0262916;-0.00369826;1.5;0.5;0.003
0.045014;0.0025232;-0.0270937;0.000235313;1.5;0.5;0.003
0.046008;-0.000824487;-0.0321607;-0.00159126;1.5;0.5;0.003
0.047001;-0.00341247;-0.0343955;-0.000842566;1.5;0.5;0.003
0.048012;-0.00395616;-0.0370643;-0.0012487;1.5;0.5;0.003
0.049005;-0.00246547;-0.0401929;-0.00101382;1.5;0.5;0.003
0.050017;-0.0012696;-0.0425731;-0.00100193;1.5;0.5;0.003
0.051009;0.000830019;-0.0446913;-0.000595804;1.5;0.5;0.003
0.052001;0.00397648;-0.0461615;-0.000555713;1.5;0.5;0.003
0.053011;0.00698442;-0.0472738;-0.000219346;1.5;0.5;0.003
0.054001;0.00988913;-0.0480912;-0.00010778;1.5;0.5;0.003
0.055010;0.0122813;-0.0480135;4.67376e-05;1.5;0.5;0.003
0.056001;0.01389;-0.045498;0.000677569;1.5;0.5;0.003
0.057012;0.0166696;-0.0412627;0.00093553;1.5;0.5;0.003
0.058003;0.0211704;-0.0387416;0.000788094;1.5;0.5;0.003
0.059012;0.0250918;-0.0372305;0.000840168;1.5;0.5;0.003
0.060003;0.0268301;-0.033871;0.000509003;1.5;0.5;0.003
0.061012;0.0282147;-0.0300386;0.000292027;1.5;0.5;0.003
0.062003;0.0296248;-0.0273022;2.37305e-05;1.5;0.5;0.003
0.063011;0.0302374;-0.0240527;-0.000122808;1.5;0.5;0.003
0.064002;0.0316185;-0.0215621;0.00120048;1.5;0.5;0.003
0.065010;0.0336639;-0.0198267;0.00167222;1.5;0.5;0.003
0.066019;0.034867;-0.0128925;-0.0021218;1.5;0.5;0.003
0.067008;0.0361393;-0.000294061;-0.000710317;1.5;0.5;0.003
0.068017;0.0394927;0.0037002;0.00220364;1.5;0.5;0.003
0.069006;0.0415479;0.000850762;0.000704265;1.5;0.5;0.003
0.070015;0.0418597;0.00500107;-0.000285488;1.5;0.5;0.003
0.071005;0.0427061;0.00868574;0.00107864;1.5;0.5;0.003
0.072013;0.0436196;0.00801866;0.000573848;1.5;0.5;0.003
0.073001;0.0433669;0.00993713;0.000137926;1.5;0.5;0.003
0.074008;0.0420469;0.0109462;0.000824662;1.5;0.5;0.003
0.075015;0.0415289;0.0107541;-1.70927e-05;1.5;0.5;0.003
0.076003;0.039061;0.0108589;-0.000383806;1.5;0.5;0.003
0.077010;0.035743;0.00875788;0.000431969;1.5;0.5;0.003
0.078017;0.0341264;0.00559888;0.000132672;1.5;0.5;0.003
0.079005;0.031356;0.00282269;-0.000460823;1.5;0.5;0.003
0.080012;0.028061;0.00124917;-0.000344553;1.5;0.5;0.003
0.081017;0.0250699;-0.000719698;-0.000354795;1.5;0.5;0.003
